id,file,seconds
Lonely Steppe of Ages,Lonely Steppe of Ages.mp3,253
Lonely Steppe of Ages (1),Lonely Steppe of Ages (1).mp3,235
Winds of the Open Plain,Winds of the Open Plain.mp3,220
Dawn Over the Kingdom,Dawn Over the Kingdom.mp3,225
Beyond the Horizon,Beyond the Horizon.mp3,257
Quiet Longing,Quiet Longing.mp3,205
Twilight Fields,Twilight Fields.mp3,244
Hearthside Respite,Hearthside Respite.mp3,274
Hearthside Respite (1),Hearthside Respite (1).mp3,240
Triumphal Procession,Triumphal Procession.mp3,275
Triumphal Procession (1),Triumphal Procession (1).mp3,211
Wanderer of the Old Fields (1),Wanderer of the Old Fields (1).mp3,221
Lonely Roads of Eldoria,Lonely Roads of Eldoria.mp3,190
Crescendo of Remembering,Crescendo of Remembering.mp3,243
Sky of Burning Wings,Sky of Burning Wings.mp3,287
Sky of Burning Wings (1),Sky of Burning Wings (1).mp3,200
Crown of the Dawning Sky,Crown of the Dawning Sky.mp3,192
Creekside Air,Creekside Air.mp3,154
Echoes of a Distant Summer,Echoes of a Distant Summer.mp3,170
Grief in the Green Vale,Grief in the Green Vale.mp3,162
Lonely Banner on the Wind,Lonely Banner on the Wind.mp3,193
Triumphal Procession 2,Triumphal Procession 2.mp3,133
Festival in the Lantern Square,Festival in the Lantern Square.mp3,158
Ruins Beneath the Black Moon,Ruins Beneath the Black Moon.mp3,188
Dawn Watch at the Gate,Dawn Watch at the Gate.mp3,137
Shadow Over the Village,Shadow Over the Village.mp3,223
Sunlit Shopfront Waltz,Sunlit Shopfront Waltz.mp3,131
Castle Glass & Copper Skies,Castle Glass & Copper Skies.mp3,161
Dies of the Dragon King,Dies of the Dragon King.mp3,185
Shadowed Keep in G Minor,Shadowed Keep in G Minor.mp3,154
The Great Gate of Kyiv,The Great Gate of Kyiv.mp3,175
Echoes of the Horizon,Echoes of the Horizon.m4a,174
Echoes of the Old Realm,Echoes of the Old Realm.m4a,173
First Light Waltz,First Light Waltz.m4a,169
Path of the Eternal Quest,Path of the Eternal Quest.m4a,165
Shadows of the Citadel,Shadows of the Citadel.m4a,177
The Gallant Expedition,The Gallant Expedition.m4a,100
The Gilded Tankard Jig,The Gilded Tankard Jig.m4a,151
The Hearth's Welcome,The Hearth's Welcome.m4a,148
The Silent Frontier,The Silent Frontier.m4a,137
Visions of the Realm (Epic Orchestral Version),Visions of the Realm (Epic Orchestral Version).m4a,178
Visions of the Realm,Visions of the Realm.m4a,179
Wanderer's Solitude,Wanderer's Solitude.m4a,169
