id,modelId,capacityKg,snapStep,rotationStep,footprintWidth,footprintDepth,minFloor,maxFloor,floorEdgeClearance,indoorCollisionRadius,outdoorCollisionRadius,maxHeightOffset,textLabel
storage_chest,chest_animated,50,0.05,90,1.476,0.616,0,3,0.1,0.28,0.55,0,false
furniture_bed,bed,0,0.05,90,1.267,2.582,0,3,0,0.15,0.2,0,false
furniture_signpost,signpost,0,0.05,15,0.2,0.2,0,3,0,0,0,3,true
furniture_signpost_mirrored,signpost_mirrored,0,0.05,15,0.2,0.2,0,3,0,0,0,3,true
furniture_shop_sign,shop_sign,0,0.05,90,0.2,0.2,0,3,0,0,0,3,true
furniture_shop_sign_plank,shop_sign_plank,0,0.05,90,0.2,0.2,0,3,0,0,0,3,true
furniture_shop_sign_oval,shop_sign_oval,0,0.05,90,0.2,0.2,0,3,0,0,0,3,true
furniture_barrel,barrel,0,0.05,90,0.866,0.866,0,3,0,0.15,0.2,0,false
furniture_crate,crate,0,0.05,90,1.128,1.128,0,3,0,0.15,0.2,0,false
furniture_chest,chest,0,0.05,90,1.476,0.616,0,3,0,0.15,0.2,0,false
furniture_chair,chair,0,0.05,90,0.588,0.65,0,3,0,0.15,0.2,0,false
furniture_table,table,0,0.05,90,1.594,0.974,0,3,0,0.15,0.2,0,false
furniture_rustic_bed,rustic_bed,0,0.05,90,0.906,2.2,0,3,0,0.15,0.2,0,false
furniture_stone_hearth,stone_hearth,0,0.05,90,1.93,0.696,0,3,0,0.15,0.2,0,false
furniture_torch_wall,torch_wall,0,0.05,90,0.2,0.2,0,3,0,0,0,3,false
furniture_health_potion,health_potion,0,0.05,15,0.2,0.2,0,3,0,0,0,3,false
furniture_healing_potion,healing_potion,0,0.05,15,0.2,0.2,0,3,0,0,0,3,false
furniture_scroll,scroll,0,0.05,15,0.2,0.2,0,3,0,0,0,3,false
furniture_scroll_enchant,scroll_enchant,0,0.05,15,0.2,0.2,0,3,0,0,0,3,false
furniture_scroll_enchant_armor,scroll_enchant_armor,0,0.05,15,0.2,0.2,0,3,0,0,0,3,false
furniture_iron_sword,iron_sword,0,0.05,15,0.2,0.2,0,3,0,0,0,3,false
furniture_goblin_sword,goblin_sword,0,0.05,15,0.2,0.2,0,3,0,0,0,3,false
furniture_small_sword,small_sword,0,0.05,15,0.2,0.2,0,3,0,0,0,3,false
furniture_shop_sign_weathered,shop_sign_weathered,0,0.05,90,0.2,0.2,0,3,0,0,0,3,true
